game_id,date,away_team,home_team,park,away_runs,home_runs,innings,day_night,temp,wind_dir,wind_speed,sky,precip
BAL202308220,2023/08/22,TOR,BAL,BAL12,6,3,10,night,81,fromlf,9,cloudy,none
BAL202308230,2023/08/23,TOR,BAL,BAL12,0,7,9,night,79,rtol,6,cloudy,none
BAL202308240,2023/08/24,TOR,BAL,BAL12,3,5,9,night,79,tolf,8,cloudy,none
BAL202308250,2023/08/25,COL,BAL,BAL12,4,5,9,night,85,tolf,6,cloudy,none
BAL202308260,2023/08/26,COL,BAL,BAL12,4,5,9,night,90,fromrf,4,cloudy,none
BAL202308270,2023/08/27,COL,BAL,BAL12,4,3,9,day,90,rtol,6,cloudy,none
BAL202308280,2023/08/28,CHA,BAL,BAL12,0,9,9,night,79,tolf,11,cloudy,none
BAL202308290,2023/08/29,CHA,BAL,BAL12,3,9,9,night,79,rtol,2,overcast,none
BAL202308300,2023/08/30,CHA,BAL,BAL12,10,5,9,day,82,fromlf,11,sunny,none
BAL202309110,2023/09/11,SLN,BAL,BAL12,5,11,9,night,85,fromlf,4,cloudy,none
BAL202309120,2023/09/12,SLN,BAL,BAL12,5,2,9,night,86,tolf,5,cloudy,none
BAL202309130,2023/09/13,SLN,BAL,BAL12,1,0,9,night,81,fromlf,6,cloudy,none
BAL202309140,2023/09/14,TBA,BAL,BAL12,4,3,9,night,73,fromlf,9,sunny,none
BAL202309150,2023/09/15,TBA,BAL,BAL12,7,1,9,night,73,fromlf,8,sunny,none
BAL202309160,2023/09/16,TBA,BAL,BAL12,0,8,9,night,79,ltor,4,sunny,none
BAL202309170,2023/09/17,TBA,BAL,BAL12,4,5,11,day,72,tolf,5,overcast,none
BAL202309260,2023/09/26,WAS,BAL,BAL12,0,1,9,night,61,fromcf,14,overcast,none
BAL202309270,2023/09/27,WAS,BAL,BAL12,1,5,9,night,67,fromrf,7,sunny,none
BAL202309280,2023/09/28,BOS,BAL,BAL12,0,2,9,night,67,fromrf,9,cloudy,none
BAL202309290,2023/09/29,BOS,BAL,BAL12,3,0,9,night,65,fromcf,7,overcast,none
BAL202309300,2023/09/30,BOS,BAL,BAL12,2,5,9,night,68,fromrf,6,cloudy,none
BAL202310010,2023/10/01,BOS,BAL,BAL12,6,1,9,day,81,fromlf,8,cloudy,none
BOS202303300,2023/03/30,BAL,BOS,BOS07,10,9,9,day,38,ltor,12,sunny,none
BOS202304010,2023/04/01,BAL,BOS,BOS07,8,9,9,day,56,unknown,4,cloudy,none
BOS202304020,2023/04/02,BAL,BOS,BOS07,5,9,9,day,43,torf,8,sunny,none
BOS202304030,2023/04/03,PIT,BOS,BOS07,7,6,9,night,50,tolf,6,sunny,none
BOS202304040,2023/04/04,PIT,BOS,BOS07,4,1,9,night,50,fromcf,4,cloudy,none
BOS202304050,2023/04/05,PIT,BOS,BOS07,4,1,9,day,41,torf,5,cloudy,none
BOS202304140,2023/04/14,ANA,BOS,BOS07,3,5,9,night,58,tolf,4,cloudy,none
BOS202304150,2023/04/15,ANA,BOS,BOS07,7,9,9,day,56,fromrf,4,cloudy,none
BOS202304160,2023/04/16,ANA,BOS,BOS07,1,2,9,day,54,rtol,3,cloudy,none
BOS202304170,2023/04/17,ANA,BOS,BOS07,5,4,9,day,50,torf,3,cloudy,none
BOS202304180,2023/04/18,MIN,BOS,BOS07,4,5,10,night,54,unknown,5,cloudy,none
BOS202304190,2023/04/19,MIN,BOS,BOS07,10,4,9,night,46,ltor,4,cloudy,none
BOS202304200,2023/04/20,MIN,BOS,BOS07,5,11,9,day,55,ltor,4,sunny,none
BOS202304280,2023/04/28,CLE,BOS,BOS07,5,2,9,night,52,tolf,3,cloudy,none
BOS202304290,2023/04/29,CLE,BOS,BOS07,7,8,10,day,49,fromrf,6,overcast,none
BOS202304300,2023/04/30,CLE,BOS,BOS07,1,7,9,day,51,fromcf,4,overcast,drizzle
BOS202305010,2023/05/01,TOR,BOS,BOS07,5,6,9,night,59,tocf,6,cloudy,none
BOS202305020,2023/05/02,TOR,BOS,BOS07,6,7,9,night,50,unknown,3,overcast,rain
BOS202305030,2023/05/03,TOR,BOS,BOS07,3,8,9,night,50,fromcf,4,overcast,none
BOS202305040,2023/05/04,TOR,BOS,BOS07,5,11,9,night,47,fromcf,3,cloudy,none
BOS202305120,2023/05/12,SLN,BOS,BOS07,8,6,9,night,82,unknown,4,sunny,none
BOS202305130,2023/05/13,SLN,BOS,BOS07,4,3,9,day,80,ltor,6,sunny,none
BOS202305140,2023/05/14,SLN,BOS,BOS07,9,1,9,night,66,ltor,4,sunny,none
BOS202305150,2023/05/15,SEA,BOS,BOS07,10,1,9,night,72,torf,12,sunny,none
BOS202305160,2023/05/16,SEA,BOS,BOS07,4,9,9,night,77,torf,7,sunny,none
BOS202305170,2023/05/17,SEA,BOS,BOS07,3,12,9,night,53,torf,18,sunny,none
BOS202305300,2023/05/30,CIN,BOS,BOS07,9,8,9,night,65,rtol,3,sunny,none
BOS202305310,2023/05/31,CIN,BOS,BOS07,5,4,9,night,79,fromcf,2,sunny,none
BOS202306010,2023/06/01,CIN,BOS,BOS07,2,8,9,night,85,tolf,4,sunny,none
BOS202306031,2023/06/03,TBA,BOS,BOS07,5,8,9,day,52,ltor,8,overcast,drizzle
BOS202306032,2023/06/03,TBA,BOS,BOS07,4,2,9,night,48,fromlf,16,overcast,drizzle
BOS202306040,2023/06/04,TBA,BOS,BOS07,6,2,9,day,52,fromcf,11,overcast,none
BOS202306050,2023/06/05,TBA,BOS,BOS07,4,1,9,day,58,fromlf,5,overcast,none
BOS202306120,2023/06/12,COL,BOS,BOS07,4,3,10,night,73,unknown,11,cloudy,none
BOS202306130,2023/06/13,COL,BOS,BOS07,7,6,10,night,69,fromcf,3,cloudy,none
BOS202306140,2023/06/14,COL,BOS,BOS07,3,6,9,night,64,tolf,7,cloudy,none
BOS202306160,2023/06/16,NYA,BOS,BOS07,5,15,9,night,73,tolf,2,cloudy,none
BOS202306181,2023/06/18,NYA,BOS,BOS07,2,6,9,day,64,fromlf,8,cloudy,none
BOS202306182,2023/06/18,NYA,BOS,BOS07,1,4,9,night,65,fromrf,7,cloudy,none
BOS202306270,2023/06/27,MIA,BOS,BOS07,10,1,9,night,76,torf,4,cloudy,none
BOS202306280,2023/06/28,MIA,BOS,BOS07,6,2,9,night,77,tolf,3,cloudy,none
BOS202306290,2023/06/29,MIA,BOS,BOS07,2,0,9,night,77,tocf,9,cloudy,none
BOS202307040,2023/07/04,TEX,BOS,BOS07,6,2,9,day,73,fromcf,2,overcast,none
BOS202307050,2023/07/05,TEX,BOS,BOS07,2,4,9,night,80,rtol,6,cloudy,none
BOS202307060,2023/07/06,TEX,BOS,BOS07,6,10,9,night,88,tolf,3,cloudy,none
BOS202307070,2023/07/07,OAK,BOS,BOS07,3,7,9,night,82,tolf,9,cloudy,none
BOS202307080,2023/07/08,OAK,BOS,BOS07,3,10,9,day,78,fromrf,11,sunny,none
BOS202307090,2023/07/09,OAK,BOS,BOS07,3,4,9,day,80,fromrf,12,cloudy,none
BOS202307210,2023/07/21,NYN,BOS,BOS07,5,4,9,day,75,tolf,2,cloudy,none
BOS202307220,2023/07/22,NYN,BOS,BOS07,6,8,9,night,74,ltor,1,cloudy,none
BOS202307230,2023/07/23,NYN,BOS,BOS07,1,6,9,night,75,torf,2,sunny,none
BOS202307250,2023/07/25,ATL,BOS,BOS07,1,7,9,night,69,tolf,2,cloudy,none
BOS202307260,2023/07/26,ATL,BOS,BOS07,3,5,9,night,85,tocf,9,cloudy,none
BOS202308040,2023/08/04,TOR,BOS,BOS07,7,3,9,night,77,tocf,3,overcast,none
BOS202308050,2023/08/05,TOR,BOS,BOS07,5,4,9,day,80,rtol,7,cloudy,none
BOS202308060,2023/08/06,TOR,BOS,BOS07,13,1,9,day,80,torf,3,sunny,none
BOS202308070,2023/08/07,KCA,BOS,BOS07,2,6,9,night,69,rtol,3,cloudy,none
BOS202308080,2023/08/08,KCA,BOS,BOS07,9,3,9,night,78,tocf,9,cloudy,none
BOS202308090,2023/08/09,KCA,BOS,BOS07,3,4,9,night,79,unknown,3,sunny,none
BOS202308100,2023/08/10,KCA,BOS,BOS07,0,2,9,night,77,tocf,3,overcast,none
BOS202308110,2023/08/11,DET,BOS,BOS07,2,5,9,night,80,torf,15,sunny,none
